EndOfTimeWindow,Home Team,Away team,Neutral
2019-12-15 09:05:00,0.0,0.0,0.0
2019-12-15 09:10:00,0.0,0.0,0.0
2019-12-15 09:15:00,2.5,4.1395,2.113
2019-12-15 09:20:00,3.024,2.913764705882352,1.6091250000000001
2019-12-15 09:25:00,3.024,2.5319245283018867,1.9640740740740745
2019-12-15 09:30:00,1.4241666666666666,1.677545454545455,1.362075630252101
2019-12-15 09:35:00,2.5332500000000002,1.2963712121212125,1.3887639751552805
2019-12-15 09:40:00,2.981888888888889,1.2139005524861881,1.3216448598130848
2019-12-15 09:45:00,2.4397272727272727,1.1702547169811324,1.356211382113822
2019-12-15 09:50:00,1.8911333333333336,1.5105421245421249,1.444861486486487
2019-12-15 09:55:00,1.57715,1.5858543689320395,1.417630303030303
2019-12-15 10:00:00,2.1380909090909093,1.751048991354467,1.361968838526912
2019-12-15 10:05:00,2.086888888888889,1.768254691689008,1.4073994708994708
2019-12-15 10:10:00,2.2910714285714286,1.693340632603406,1.3331502463054186
2019-12-15 10:15:00,2.6586000000000003,1.7336077981651368,1.214941704035874
2019-12-15 10:20:00,2.7546875,1.723251082251081,1.1867118644067791
2019-12-15 10:25:00,2.765485714285715,1.4805898437499994,1.0723339070567983
2019-12-15 10:30:00,2.5853333333333337,1.3771418439716303,0.9328789986091791
2019-12-15 10:35:00,2.685214285714286,1.3117308970099657,0.9535149156939032
2019-12-15 10:40:00,2.529739130434783,1.2541507936507925,0.8751603888213845
2019-12-15 10:45:00,2.450479166666667,1.2169578313252996,0.8763002232142849
2019-12-15 10:50:00,2.4182500000000005,1.4863124300111967,0.9656081081081079
2019-12-15 10:55:00,2.2431551724137937,2.089697058823528,1.1767021996615898
2019-12-15 11:00:00,2.0297272727272735,2.537732690124858,1.3345237366003069
