timestamp,text,hashtags
Fri Nov 15 00:34:48 +0000 2019,RT @Crunchyroll: NEWS: One Piece: Pirate Warriors 4 Adds Playable Bartolomeo and Cavendish\n\n\u2728 More: https://t.co/Or3A2dHnrc https://t.co/Uo\u2026,
Fri Nov 15 00:34:46 +0000 2019,"RT @LakersHoopsPH: Warriors \""fans\"" going back to support the Lakers after leaving the Lakers Nation 5 years ago: https://t.co/tyr8h2vq8N",
Fri Nov 15 00:34:44 +0000 2019,"RT @gswchris: \u201cI played them in the Finals without Kyrie and Kevin\u201d \n\nWarriors tarnished this dude\u2019s legacy, he clearly thinks about it oft\u2026",
Fri Nov 15 00:34:43 +0000 2019,RT @3Days3Nights: Q just posted this video image. Along with Ephesians 6:10-17. Prayer warriors come forward. God wouldn\u2019t tell us we neede\u2026,
Fri Nov 15 00:34:42 +0000 2019,Being an adult with CHD is definitely not for the faint of heart. We are definitely warriors &amp; fight a hard battle\u2026 https://t.co/EGGMGnH0n0,
Fri Nov 15 00:34:42 +0000 2019,RT @___Colb___: Good morning.\n\nWarriors fans are upset at LeBron James because he told the truth about the 2015 NBA Finals. \n\nI don\u2019t under\u2026,
Fri Nov 15 00:34:42 +0000 2019,RT @LegionHoops: LeBron James was asked if it was weird playing against the Warriors without Klay or Steph.\n\nHis response: \u201cNo. I played th\u2026,
Fri Nov 15 00:34:39 +0000 2019,"RT @SFYouthChorus: #SanFrancisco Youth Chorus sings \""The Star-Spangled Banner\"" for a Golden State #Warriors #basketball crowd of 18,000, ma\u2026","#SanFrancisco,#Warriors,#basketball,"
Fri Nov 15 00:34:39 +0000 2019,RT @AngelWarrior321: \ud83c\uddfa\ud83c\uddf8\u2764\ufe0f\ud83c\uddfa\ud83c\uddf8Patriots our Fallen Warriors KIA for Nov 13th\ud83c\uddfa\ud83c\uddf8\u2764\ufe0f\ud83c\uddfa\ud83c\uddf8 \ud83d\ude4fMay they Rest in Peace with God's loving embrace.\ud83d\ude4f #RIP #Ne\u2026,"#RIP,"
Fri Nov 15 00:34:35 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:34:34 +0000 2019,RT @dlswander: Klay is every Warriors fan right now https://t.co/A9Irv6v6CT,
Fri Nov 15 00:34:33 +0000 2019,"RT @TrashTalk_fr: Fizdale il pourrait d\u00e9barquer ce week-end en conf\u00e9rence de presse et nous sortir un gros \u00ab\u00a0CHEH LES WARRIORS, CHEH \u00bb je s\u2026",
Fri Nov 15 00:34:30 +0000 2019,RT @1776Stonewall: Looks like he got suspended? I knew he was unstable. After I mopped the floor with him before he got really pissed and p\u2026,
Fri Nov 15 00:34:29 +0000 2019,"RT @BR_NBA: 10 years ago today, Brandon Jennings lit up the Warriors for 55 points\n\nSet the rookie record for most points in a game \ud83d\udd25 https\u2026",
Fri Nov 15 00:34:25 +0000 2019,@TrashTalk_fr Si c'est sur les Warriors ils auraient raison,
Fri Nov 15 00:34:25 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:34:23 +0000 2019,RT @Crunchyroll: NEWS: One Piece: Pirate Warriors 4 Adds Playable Bartolomeo and Cavendish\n\n\u2728 More: https://t.co/Or3A2dHnrc https://t.co/Uo\u2026,
Fri Nov 15 00:34:22 +0000 2019,@skinnytoldem My bad I thought you were talking bout Eric Pascual from the Warriors....lol,
Fri Nov 15 00:34:21 +0000 2019,"RT @pratheesh_Hind: There r confusions abt #SabarimalaVerdict. Doesnt matter whether court stay is there or not, our stay on breaking tradi\u2026","#SabarimalaVerdict,"
Fri Nov 15 00:34:20 +0000 2019,RT @Crunchyroll: NEWS: One Piece: Pirate Warriors 4 Adds Playable Bartolomeo and Cavendish\n\n\u2728 More: https://t.co/Or3A2dHnrc https://t.co/Uo\u2026,
Fri Nov 15 00:34:19 +0000 2019,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 https://t.co/csXudsRRJ5,
Fri Nov 15 00:34:17 +0000 2019,"RT @BarackObama: This Veterans Day, here\u2019s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ranger I\u2019v\u2026",
Fri Nov 15 00:34:16 +0000 2019,"RT @saddlesurfer2: @JamesOKeefeIII Shame, shame, shame on ABC/Disney,  the media, the #MeToo warriors &amp; anyone else who are ignoring the vo\u2026","#MeToo,"
Fri Nov 15 00:34:16 +0000 2019,RT @LeBronFactory: Reporter: \u201cIs it weird playing against the Warriors without Klay or Steph.\n\nLeBron: \u201cNo. I played them in the Finals wit\u2026,
Fri Nov 15 00:34:16 +0000 2019,RT @DharmikSonal: Do You know? \nWhen Timur turned his eyes towards India. He was not invincible as told by communist historians. \n\nRampyari\u2026,
Fri Nov 15 00:34:14 +0000 2019,@RaTeD_RMN @warriors @verizon They have bench players?,
Fri Nov 15 00:34:13 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:34:11 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:34:11 +0000 2019,"The warriors did it to beat bron, they doing it to get Disney outta here https://t.co/iuRbhtjvP3",
Fri Nov 15 00:34:09 +0000 2019,"Impensado el nivel de los cavaliers y los Warriors est\u00e1 temporada, hace un par de a\u00f1os finalistas",
Fri Nov 15 00:34:00 +0000 2019,RT @TalkGambling: Clippers and over Lakers /Warriors https://t.co/O4N0iZLq9I,
Fri Nov 15 00:34:00 +0000 2019,RT @SunCmtyNews: Warriors win Section II Class C volleyball championship https://t.co/MRFhWggtCT #SunCmtyNews,"#SunCmtyNews,"
Fri Nov 15 00:33:57 +0000 2019,RT @Crunchyroll: NEWS: One Piece: Pirate Warriors 4 Adds Playable Bartolomeo and Cavendish\n\n\u2728 More: https://t.co/Or3A2dHnrc https://t.co/Uo\u2026,
Fri Nov 15 00:33:55 +0000 2019,RT @TheWarriorsTalk: Leaked X-Ray images of Stephen Curry\u2019s left hand have surfaced.\n\n#KeepThatSameEnergy\n\n[via PS_Warriors/IG] https://t.c\u2026,"#KeepThatSameEnergy,"
Fri Nov 15 00:33:52 +0000 2019,"RT @BarackObama: This Veterans Day, here\u2019s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ranger I\u2019v\u2026",
Fri Nov 15 00:33:52 +0000 2019,RT @MAGA2ARIGHTS: IT'S HAPPENING... BREAKING: President Trump Meets with AG Bill Barr in Oval Office - Then Delays Departure and Calls in T\u2026,
Fri Nov 15 00:33:51 +0000 2019,\ud83c\udfd0LETS GO WARRIORS!!! \u2066@LakeGeorgeCSD\u2069 \u2066@LGAthletics\u2069 https://t.co/Zk5rhHiJym,
Fri Nov 15 00:33:49 +0000 2019,@StephenMackey18 So somehow the Knicks felt one of the top 5 players in the NBA would not fit in their plans. It is\u2026 https://t.co/zRHVbm36rT,
Fri Nov 15 00:33:48 +0000 2019,RT @Storres625Sonia: Delicious Thanksgiving lunch \ud83d\ude0b\ud83e\udd83\ud83e\udd67\ud83e\udde1 Thank you @Warriors_SSMS @fmacias_SSMS @AAcosta_SSMS This will be our last school lu\u2026,
Fri Nov 15 00:33:47 +0000 2019,All 3 Ohio Divisions combined......\n3 Warriors make the list:\n\nKrumhansl 16:34\nOsborne 16:51\nMeriga 17:03\n\nIs it Cr\u2026 https://t.co/4iMsikQYsL,
Fri Nov 15 00:33:46 +0000 2019,RT @TheWarriorsTalk: Leaked X-Ray images of Stephen Curry\u2019s left hand have surfaced.\n\n#KeepThatSameEnergy\n\n[via PS_Warriors/IG] https://t.c\u2026,"#KeepThatSameEnergy,"
Fri Nov 15 00:33:46 +0000 2019,RT @Havenlust: \u201cThe two most powerful warriors are patience and time.\u201d  \u2013 Leo Tolstoy \u2665\ufe0f  #art #travel #love\n\n\ud83d\udcf8 Available on Saatchi Art: F\u2026,"#art,#travel,#love,"
