EndOfTimeWindow,Home Team,Away team,Neutral
2019-11-26 15:05:00,0.9034545454545455,-7.269,1.4695
2019-11-26 15:10:00,1.5308333333333333,-7.269,1.3245925925925925
2019-11-26 15:15:00,1.581205882352941,-7.269,1.1667961783439489
2019-11-26 15:20:00,1.7593775510204077,-7.269,1.3118168168168158
2019-11-26 15:25:00,1.9601058394160567,-7.269,1.3656916835699773
2019-11-26 15:30:00,2.1923453453453448,-7.269,1.3976327212020005
2019-11-26 15:35:00,2.2160513513513513,-7.269,1.4622166910688115
2019-11-26 15:40:00,2.1570814814814816,-3.6345,1.4918170894526006
2019-11-26 15:45:00,2.0496975717439305,-3.6345,1.2781268656716385
2019-11-26 15:50:00,2.1153017408123795,-3.6345,0.37969055944055946
2019-11-26 15:55:00,2.29591362126246,-3.6345,0.35916882470119543
2019-11-26 16:00:00,2.344781874039942,-3.6345,0.3488018518518522
2019-11-26 16:05:00,2.363200585651542,-3.6345,0.34465647163120594
2019-11-26 16:10:00,2.3898508287292874,-3.6345,0.3774545833333334
2019-11-26 16:15:00,2.3884601889338786,-3.6345,0.37172683319903316
2019-11-26 16:20:00,2.354345794392529,-3.6345,0.39372826938136274
2019-11-26 16:25:00,2.3603160621761714,-3.6345,0.4197133637053915
2019-11-26 16:30:00,2.3536877370417244,-3.6345,0.4261784536460246
2019-11-26 16:35:00,2.3267139303482636,-3.6345,0.46625204117855934
2019-11-26 16:40:00,2.297404076738615,-3.6345,0.48144974271012086
2019-11-26 16:45:00,2.081105708245248,-2.423,0.4906020437956211
2019-11-26 16:50:00,2.051777548918645,-2.8,0.501858960763522
2019-11-26 16:55:00,2.0387939086294464,-2.8,0.5359125865162793
2019-11-26 17:00:00,2.091977941176475,-0.4844999999999999,0.6249707870593934
